FlowID, PS, IPG, FS, IFG, t1, t2, t3, t4, t5, host_ifg
101, 306, 9609292, 4169, 12791161, 2, 2, 2, 2, 2,823.3878
101, 333, 9284633, 4914, 12791161, 2, 2, 2, 3, 2,823.3878
101, 307, 9324970, 4914, 12791161, 2, 2, 2, 3, 2,823.3878
101, 303, 9160885, 5094, 13782024, 2, 2, 2, 3, 2,0.033
41, 293, 9802722, 3899, 14588050, 2, 2, 2, 2, 2,5669.468833333333
101, 272, 9223128, 4088, 14035430, 2, 2, 2, 3, 2,823.4548
101, 272, 9223128, 4088, 14035430, 2, 2, 2, 3, 2,823.4548
101, 257, 10738277, 4495, 12416400, 2, 2, 2, 3, 2,0.033
41, 254, 11047539, 3980, 17062265, 2, 2, 2, 3, 2,5669.468833333333
101, 262, 10639824, 4579, 15102400, 2, 2, 2, 3, 2,823.5208
101, 265, 11037599, 4579, 15102400, 2, 2, 2, 2, 2,823.5208
101, 267, 10553474, 4013, 17137106, 2, 2, 2, 2, 2,0.034
41, 270, 10646954, 3577, 17661326, 2, 2, 2, 2, 2,5669.468833333333
41, 260, 10716510, 3577, 17661326, 2, 2, 2, 3, 2,5669.468833333333
41, 250, 10726739, 3223, 14136551, 2, 2, 2, 3, 2,5669.468833333333
41, 245, 11000018, 3223, 14136551, 2, 2, 2, 3, 2,5669.468833333333
41, 256, 11372202, 3223, 14136551, 2, 2, 2, 3, 2,5669.468833333333
41, 299, 11067493, 4377, 13075869, 2, 2, 2, 3, 2,5669.468833333333
41, 278, 10624175, 3633, 12156139, 2, 2, 2, 2, 2,42052.390011111114
101, 310, 10268057, 3894, 12255649, 2, 2, 2, 3, 2,823.6878
41, 288, 10106517, 3334, 11399780, 2, 2, 2, 3, 2,5669.468833333333
101, 275, 10169541, 4252, 10301701, 2, 2, 2, 3, 2,46898.13704444445
101, 251, 9949609, 3651, 10301701, 2, 2, 2, 3, 2,46898.13704444445
101, 259, 9641368, 3769, 10633650, 2, 2, 2, 2, 2,823.7548
41, 251, 9791848, 3126, 10371651, 2, 2, 2, 3, 2,5669.468833333333
41, 247, 9472704, 3126, 10371651, 2, 2, 2, 2, 2,5669.468833333333
41, 244, 8967382, 3015, 9018375, 2, 2, 2, 3, 2,5669.468833333333
41, 233, 9001659, 3015, 9018375, 2, 2, 2, 3, 2,5669.468833333333
101, 284, 8399820, 4014, 9560088, 2, 2, 2, 2, 2,823.8218
101, 313, 9380628, 4449, 8682938, 2, 2, 2, 2, 2,0.033
101, 313, 9251312, 4449, 8682938, 2, 2, 2, 3, 2,0.033
101, 264, 9797069, 6143, 9007426, 2, 2, 2, 3, 2,823.8878
101, 245, 10455956, 5349, 9524252, 2, 2, 2, 3, 2,46897.97104444444
41, 230, 10126274, 5026, 10504201, 2, 3, 2, 2, 2,5669.468833333333
101, 301, 10097843, 4758, 9449317, 2, 3, 2, 2, 2,823.9218
101, 271, 9898229, 6475, 9329183, 2, 2, 2, 3, 2,823.9548
