Connected to BF Runtime Server as client 0
The target runs the program  RF
FlowID, PS, IPG, FS, IFG t1, t2, t3, t4, t5, host_ifg
101, 340, 6738452, 9367, 13039575, 2, 2, 2, 3, 2,870.4008
101, 302, 6990826, 7384, 13142479, 2, 2, 2, 3, 2,46851.458044444444
101, 345, 6718227, 9430, 12659468, 2, 2, 2, 3, 2,870.4348
41, 326, 6582339, 8072, 12463459, 2, 2, 2, 3, 2,5669.468833333333
101, 370, 6332083, 9443, 12224867, 2, 2, 2, 2, 2,870.4678
101, 340, 6469887, 9443, 12224867, 2, 2, 2, 2, 2,870.4678
101, 326, 6103999, 7837, 15002390, 2, 2, 2, 2, 2,46851.35704444444
101, 329, 6030735, 7837, 15002390, 2, 2, 2, 3, 2,46851.35704444444
101, 301, 5992981, 7837, 15002390, 2, 2, 2, 3, 2,46851.35704444444
101, 347, 6228565, 8110, 13060451, 2, 2, 2, 3, 2,46851.324044444445
41, 319, 5908932, 7164, 13725389, 2, 2, 2, 3, 2,5669.468833333333
101, 341, 6211713, 8989, 13801765, 2, 2, 2, 3, 2,46851.29104444444
41, 315, 6019189, 7164, 13725389, 2, 2, 2, 3, 2,5669.468833333333
41, 368, 5934459, 8842, 12598169, 2, 2, 2, 2, 2,5669.468833333333
41, 338, 5820510, 8842, 12598169, 2, 3, 2, 2, 2,5669.468833333333
41, 336, 5878484, 8842, 12598169, 2, 3, 2, 2, 2,5669.468833333333
101, 356, 5827203, 9226, 11168871, 2, 2, 2, 3, 2,870.6348
101, 381, 5525863, 7432, 12600756, 2, 3, 2, 2, 2,870.6678
101, 365, 5163965, 9297, 11922620, 2, 2, 2, 2, 2,870.6678
41, 349, 5082841, 7656, 12348646, 2, 2, 2, 2, 2,5669.468833333333
41, 340, 4707367, 8837, 11556088, 2, 3, 2, 2, 2,5669.468833333333
41, 324, 5123881, 8837, 11556088, 2, 3, 2, 2, 2,5669.468833333333
101, 369, 5130150, 9247, 11748917, 2, 2, 2, 3, 2,870.7348
41, 328, 5866268, 7680, 15675595, 2, 2, 2, 3, 2,5669.468833333333
41, 336, 5985340, 7680, 15675595, 2, 2, 2, 3, 2,5669.468833333333
41, 326, 5985340, 7680, 15675595, 2, 2, 2, 3, 2,5669.468833333333
41, 448, 6882998, 8133, 15530861, 2, 2, 2, 3, 2,5669.468833333333
101, 423, 6736658, 7666, 15200368, 2, 2, 2, 3, 2,46851.057044444446
41, 376, 6941502, 8133, 15530861, 2, 2, 2, 3, 2,5669.468833333333
41, 356, 7069934, 6097, 14152252, 2, 2, 2, 3, 2,5669.468833333333
101, 376, 6355105, 7936, 13466322, 2, 2, 2, 2, 2,870.8688
41, 339, 6473786, 6097, 14152252, 2, 2, 2, 2, 2,5669.468833333333
41, 396, 6551415, 7951, 12509943, 2, 2, 2, 3, 2,5669.468833333333
41, 368, 6583080, 7951, 12509943, 2, 2, 2, 3, 2,5669.468833333333
101, 390, 6264842, 8778, 12657870, 2, 2, 2, 3, 2,870.9348
41, 348, 6266488, 7072, 13607875, 2, 2, 2, 3, 2,5669.468833333333
101, 369, 6150519, 8493, 12967073, 2, 2, 2, 3, 2,46850.890044444444
41, 338, 6231423, 7072, 13607875, 2, 2, 2, 3, 2,5669.468833333333
101, 347, 5830376, 9388, 11422265, 2, 2, 2, 3, 2,871.0018
41, 314, 6052139, 8828, 13971365, 2, 2, 2, 3, 2,5669.468833333333
41, 301, 6044929, 8828, 13971365, 2, 2, 2, 3, 2,5669.468833333333
101, 341, 6256859, 7417, 12579751, 2, 2, 2, 3, 2,871.0348
101, 401, 5737556, 10926, 17535801, 2, 2, 2, 3, 2,871.0688
41, 352, 6084062, 6558, 17017691, 2, 2, 2, 3, 2,5669.468833333333
101, 393, 5707901, 11215, 16029900, 2, 2, 2, 3, 2,871.1018
101, 365, 5855047, 11215, 16029900, 2, 2, 2, 3, 2,871.1018
101, 384, 5919717, 13298, 17217420, 2, 2, 2, 3, 2,46850.72304444444
41, 330, 5740114, 11039, 20177142, 2, 2, 2, 3, 2,5669.468833333333
101, 364, 5911617, 12245, 19488336, 2, 2, 2, 3, 2,46850.69004444445
41, 420, 6428365, 11039, 20177142, 2, 2, 2, 2, 2,5669.468833333333
101, 429, 6161426, 11804, 15847335, 2, 2, 2, 3, 2,46850.657044444444
101, 391, 6224243, 10445, 16417662, 2, 2, 2, 3, 2,46850.657044444444
101, 453, 6028283, 11638, 14755078, 2, 2, 2, 3, 2,871.2358
101, 395, 6037268, 9102, 18280282, 2, 2, 2, 3, 2,46850.623044444445
101, 400, 5838916, 11346, 17437657, 2, 2, 2, 3, 2,871.2688
41, 364, 6120733, 9663, 18134947, 2, 2, 2, 2, 2,5669.468833333333
41, 371, 5738815, 10611, 17754423, 2, 2, 2, 3, 2,5669.468833333333
101, 362, 6244209, 9389, 16971854, 2, 2, 2, 3, 2,46850.55604444444
101, 434, 6192756, 13596, 16565635, 2, 2, 2, 3, 2,871.3358
41, 380, 6942575, 10935, 16529578, 2, 2, 2, 3, 2,5669.468833333333
101, 400, 6578319, 11447, 15416747, 2, 2, 2, 3, 2,46850.49004444444
41, 369, 6768960, 10935, 16529578, 2, 2, 2, 3, 2,5669.468833333333
101, 446, 6977999, 11204, 12852408, 2, 2, 2, 3, 2,46850.45704444445
41, 422, 6923859, 10211, 13317929, 2, 2, 2, 3, 2,5669.468833333333
101, 443, 7069067, 11438, 12910209, 2, 2, 2, 3, 2,871.4358
101, 449, 7545610, 9799, 11399390, 2, 2, 2, 2, 2,46850.42304444445
101, 431, 7597718, 9799, 11399390, 2, 2, 2, 2, 2,871.4688
101, 471, 7303833, 10912, 16021630, 2, 2, 2, 3, 2,871.4688
101, 445, 7171761, 10998, 14262966, 2, 2, 2, 2, 2,871.5028
101, 423, 8342091, 10998, 14262966, 2, 2, 2, 3, 2,871.5028
101, 467, 8646703, 10632, 16694075, 2, 2, 2, 3, 2,46850.32304444444
41, 418, 8558521, 9724, 18501186, 2, 2, 2, 3, 2,5669.468833333333
41, 411, 9063044, 8830, 19741533, 2, 2, 2, 3, 2,5669.468833333333
41, 359, 8155641, 8830, 19741533, 2, 2, 2, 3, 2,5669.468833333333
101, 420, 7895311, 10115, 15448086, 2, 2, 2, 3, 2,46850.256044444446
41, 388, 7389527, 9510, 17557326, 2, 2, 2, 2, 2,5669.468833333333
101, 421, 7018582, 10173, 15409782, 2, 2, 2, 3, 2,46850.22304444444
41, 394, 7129816, 8449, 18686813, 2, 2, 2, 3, 2,5669.468833333333
101, 471, 6819289, 10515, 18200224, 2, 2, 2, 3, 2,871.6688
41, 443, 6756003, 8449, 18686813, 2, 2, 2, 3, 2,5669.468833333333
41, 438, 6203500, 9531, 20123018, 2, 2, 2, 2, 2,5669.468833333333
101, 429, 6079866, 8840, 19898063, 2, 2, 2, 3, 2,871.7358
101, 435, 5962917, 10215, 17688460, 2, 2, 2, 3, 2,46850.123044444445
41, 388, 7054719, 7964, 16955789, 2, 2, 2, 3, 2,5669.468833333333
101, 392, 6741878, 8740, 16691124, 2, 2, 2, 3, 2,46850.089044444445
41, 349, 7803358, 7964, 16955789, 2, 2, 2, 3, 2,5669.468833333333
101, 389, 7555177, 12374, 15856538, 2, 2, 2, 3, 2,46850.05604444444
101, 394, 7455086, 12432, 14780161, 2, 2, 2, 3, 2,871.8358
101, 379, 7744258, 10651, 13087171, 2, 2, 2, 2, 2,46850.023044444446
101, 381, 7326637, 10651, 13087171, 2, 2, 2, 3, 2,871.8698
101, 425, 7022718, 11703, 13403710, 2, 2, 2, 3, 2,871.8698
41, 390, 7236219, 9116, 12750189, 2, 2, 2, 2, 2,5669.468833333333
41, 365, 6589310, 8990, 12491360, 2, 2, 2, 3, 2,5669.468833333333
41, 341, 6871343, 8990, 12491360, 2, 2, 2, 3, 2,5669.468833333333
101, 380, 6631869, 9806, 13083921, 2, 2, 2, 3, 2,46849.92304444445
41, 344, 6953358, 8990, 13473875, 2, 2, 2, 3, 2,5669.468833333333
101, 383, 6545769, 8774, 13545508, 2, 2, 2, 3, 2,871.9698
41, 346, 7032221, 7647, 13473875, 2, 2, 2, 3, 2,5669.468833333333
101, 420, 6669328, 11939, 13775991, 2, 2, 2, 3, 2,46849.856044444445
41, 380, 6322120, 10877, 15608939, 2, 2, 2, 2, 2,5669.468833333333
101, 451, 6143812, 11529, 14125624, 2, 2, 2, 3, 2,46849.82304444444
101, 398, 6152852, 11529, 14125624, 2, 2, 2, 3, 2,46849.82304444444
41, 434, 5760926, 11391, 14981578, 2, 2, 2, 3, 2,5669.468833333333
41, 394, 6250874, 11391, 14981578, 2, 2, 2, 3, 2,5669.468833333333
101, 447, 5784951, 14324, 14920092, 2, 2, 2, 3, 2,46849.756044444446
101, 423, 6032993, 14324, 14920092, 2, 2, 2, 3, 2,46849.756044444446
101, 463, 6390270, 12476, 18327522, 2, 2, 2, 2, 2,872.1368
41, 458, 7671207, 10830, 17513516, 2, 2, 2, 2, 2,42052.390011111114
101, 477, 7095952, 14523, 17883247, 2, 2, 2, 3, 2,46849.68904444444
41, 472, 8035961, 14751, 18126275, 2, 2, 2, 3, 2,5669.468833333333
101, 470, 7903073, 13456, 14981784, 2, 2, 2, 3, 2,46849.65604444445
41, 416, 7695638, 11170, 18326802, 2, 2, 2, 3, 2,5669.468833333333
101, 457, 6981930, 10990, 16779326, 2, 2, 2, 2, 2,46849.62204444445
41, 416, 7438953, 11170, 18326802, 2, 2, 2, 3, 2,5669.468833333333
101, 427, 6905683, 10764, 14170554, 2, 2, 2, 3, 2,46849.589044444445
41, 381, 6693684, 10437, 15281645, 2, 2, 2, 3, 2,5669.468833333333
101, 399, 6266544, 9828, 12972695, 2, 2, 2, 2, 2,46849.55604444444
101, 387, 6218971, 9828, 12972695, 2, 2, 2, 3, 2,46849.55604444444
101, 402, 6026715, 10255, 16549137, 2, 2, 2, 3, 2,46849.52204444444
41, 366, 6293848, 8420, 17168282, 2, 2, 2, 2, 2,5669.468833333333
101, 453, 5878226, 13845, 15566400, 2, 2, 2, 3, 2,46849.489044444446
41, 394, 6936235, 13015, 17720103, 2, 2, 2, 3, 2,5669.468833333333
101, 426, 6708895, 13153, 15760901, 2, 2, 2, 2, 2,46849.45504444445
101, 426, 6708895, 13153, 15760901, 2, 2, 2, 2, 2,46849.45504444445
101, 473, 8677096, 14499, 19894105, 2, 2, 2, 3, 2,46849.42204444444
101, 433, 8634821, 14499, 19894105, 2, 2, 2, 3, 2,46849.42204444444
101, 479, 8138980, 12497, 20680960, 2, 2, 2, 3, 2,46849.38904444445
101, 471, 7782126, 12497, 18328234, 2, 2, 2, 3, 2,46849.35504444444
